donation,gender,age,edu,spouse,housing,nfamily,inc
120000,2,43,4,2,31,64,640
20000,2,51,4,2,31,62,630
800000,2,53,5,2,34,64,678
30000,1,64,2,2,34,64,678
12000,1,29,5,1,35,62,660
100000,1,64,3,2,32,62,630
120000,1,73,2,2,31,62,640
20000,2,39,4,2,32,62,640
100000,2,43,4,1,33,61,610
100000,1,50,7,2,31,64,678
360000,2,50,5,2,31,64,678
360000,1,45,4,2,31,62,660
360000,2,44,4,1,31,63,630
300000,2,72,3,5,31,61,630
300000,1,75,2,2,31,62,630
10000,2,16,3,1,31,63,630
1000000,1,64,3,2,31,62,640
120000,1,65,3,2,33,62,630
120000,2,44,3,2,33,62,630
330000,2,36,4,2,31,64,660
360000,1,36,4,2,33,64,640
60000,2,35,3,2,33,64,640
2400000,1,49,5,2,31,62,650
360000,1,40,3,2,31,64,640
360000,1,44,5,2,31,64,678
360000,2,40,5,2,31,64,678
280000,2,46,5,2,32,63,660
360000,1,44,3,2,31,64,640
20000,2,63,3,1,33,61,610
10000,2,64,3,2,32,62,620
10000,1,53,3,5,33,62,630
360000,1,76,6,2,33,62,630
120000,2,60,4,5,33,61,630
120000,1,47,4,1,33,62,640
1200000,1,63,6,2,31,62,660
2400000,2,63,7,2,31,62,660
360000,1,63,3,2,31,62,650
120000,1,49,5,2,31,63,678
600000,2,57,3,2,31,62,630
600000,2,37,3,2,31,64,660
200000,2,60,1,2,31,62,610
240000,1,46,5,2,33,64,650
1500000,2,37,5,2,33,64,650
600000,2,45,6,2,31,64,678
2500000,1,49,6,2,31,64,660
360000,2,44,6,2,31,64,660
1200000,1,61,6,2,33,61,660
240000,1,64,4,2,35,62,630
920000,1,61,5,2,31,63,678
720000,1,33,5,1,31,63,678
120000,2,28,4,1,32,61,620
10000,2,29,5,1,32,62,660
20000,2,37,5,1,32,61,640
100000,2,48,3,4,32,61,640
120000,2,46,4,4,33,62,650
10000,2,46,4,2,31,63,678
100000,1,19,5,1,35,64,650
1000000,1,44,4,2,31,64,678
10000,2,41,4,2,31,63,650
840000,2,46,5,2,32,62,678
240000,2,38,3,5,31,62,620
150000,1,52,5,2,31,63,640
800000,2,42,3,2,31,61,650
150000,1,69,3,2,31,64,660
300000,1,65,5,2,31,64,678
100000,2,63,4,2,31,64,678
120000,2,55,6,2,31,62,640
500000,1,60,5,2,31,62,660
480000,2,59,4,2,31,64,660
360000,2,35,4,2,31,64,660
200000,1,59,4,2,34,62,610
540000,1,68,1,2,31,62,640
240000,2,37,5,2,32,64,660
500000,1,37,5,2,32,64,660
240000,1,58,5,2,31,62,678
240000,2,55,5,2,31,62,678
120000,2,38,3,3,33,61,640
120000,2,61,2,2,31,62,640
1000000,1,65,3,2,31,63,640
200000,1,60,3,2,31,62,640
240000,1,47,3,4,31,64,640
240000,1,66,1,2,31,62,660
200000,1,45,3,2,32,62,630
360000,1,61,5,2,31,62,630
480000,1,45,3,2,31,64,640
