index,gender,spouse,age,nfamily,edu,debt,equity,dep
613,1,2,G5,5,1,2700,Q2,1
614,1,2,G2,3,4,8398,Q2,1
615,1,2,G2,4,4,20800,Q2,1
616,1,2,G5,2,5,0,Q4,1
617,1,2,G5,2,2,0,Q1,1
618,1,2,G5,2,4,0,Q3,1
619,1,2,G5,2,3,1110,Q4,1
620,1,2,G5,2,2,0,Q5,3
621,2,3,G5,1,1,0,Q1,1
622,1,2,G2,4,4,0,Q1,5
623,2,3,G5,1,1,0,Q1,1
624,1,2,G5,2,4,0,Q3,2
625,1,2,G5,2,4,1688,Q3,1
626,1,2,G4,4,4,6197,Q2,1
627,1,2,G2,2,4,3800,Q1,1
628,1,2,G5,3,2,19000,Q5,1
629,2,1,G1,1,4,0,Q1,1
630,1,2,G5,3,6,42000,Q3,1
631,2,3,G5,2,3,25000,Q1,1
632,1,2,G5,2,4,68500,Q5,1
633,1,2,G4,4,6,18000,Q3,1
634,1,3,G5,1,2,0,Q2,3
635,2,4,G1,3,5,50,Q1,1
636,1,2,G3,4,5,16940,Q4,1
637,1,2,G4,3,4,8166,Q3,1
638,1,4,G5,1,2,290,Q3,1
639,2,3,G5,1,6,0,Q4,1
640,1,2,G3,5,4,4550,Q2,1
641,1,2,G5,2,4,0,Q5,3
642,1,2,G5,2,2,3000,Q4,1
643,1,2,G5,3,1,500,Q4,1
644,1,2,G5,2,4,5000,Q2,1
645,1,2,G5,2,4,1500,Q1,1
