INDEX,성별_남1,결혼_기혼1,연령,근무년수,직위,교육수준,이직의도,개인적배려,카리스마,지적자극,직무스트레스,감정노동,직무만족,직업의식
A133,0,0,26,2,3,3,3.6,2.5,3,3,3,4,3.75,2.6
A134,0,1,40,5,3,2,2.4,2.75,3.75,3.5,3.5,3.2,3.75,3.4
A135,0,1,39,1,2,2,2.8,3.25,3.75,3.5,3.5,3.4,4,3.6
A136,0,1,40,6,4,2,3,3,3,3,3,3.4,4,3
A137,0,1,43,6,4,4,3.2,2.5,3.25,3,3,3.4,3.75,2.8
A138,0,1,44,2,2,2,3.2,2.25,2.25,3,2.75,2.8,4,3.4
A139,0,0,29,3,3,4,3.8,1,3.5,3.5,3.25,3.2,3,2.8
A140,0,0,34,5,3,3,4.2,1.75,2,2,2.5,3.6,4.75,2.4
A141,0,0,31,6,3,4,3.6,1.75,1,1,1,2.8,4.5,3.2
A142,0,0,39,2,2,2,3,3,3,2.25,2.25,1.8,3.75,3.2
A143,0,0,30,1,2,4,3.2,3,4,4,4,3,3,3
A144,0,1,29,1,2,2,4,2,3.25,3,2.75,4.2,4.25,2.2
A145,0,1,30,1,3,4,4,1.75,4,4,4,5,5,2
A146,0,0,29,1,2,2,2.4,2.75,4,3.25,3.75,2.4,3.25,3
A147,1,0,37,1,2,2,2.8,3.75,3.75,4.25,3.75,4,2.75,4.2
A148,0,1,36,5,2,4,4.2,1.25,2.75,2,2,3.2,4.5,1.4
A149,0,1,25,1,2,2,3.2,2,2.5,2.75,2.75,3.2,3.5,2.2
A150,0,0,37,6,3,3,4,1.5,3,2.5,2.25,4,2.75,2
A151,0,1,33,3,3,4,5,1,3,3,3,3.4,3.25,1
A152,0,1,29,1,1,3,3.4,2,3.75,4,4,3.4,3.5,3.8
A153,0,1,34,1,2,2,1.8,2.5,3.5,4,3,2.2,5,3.6
