id,edu,age,debt,equity,income,slack,cs
22700201,2,G5,NA,7836,1569,1504,709
22700211,4,G5,0,65490,3198,3024,2150
22700311,4,G4,2200,30355,15468,13015,2760
22700321,1,G5,0,550,1165,1111,916
22700351,4,G4,1000,4480,4795,4410,1936
22800271,3,G5,0,340,1016,1011,845
22800311,1,G5,0,140,1633,1632,1170
22900201,4,G5,2500,32950,2966,2904,1752
22900221,4,G5,0,108800,990,624,1962
22900291,6,G5,0,13913,6498,5203,2500
22900301,1,G5,0,4030,747,746,473
22900361,1,G5,0,600,692,601,502
23100232,6,G5,3200,100550,5108,2635,2222
23700201,2,G5,1800,13370,2495,2384,1430
23700231,3,G5,0,NA,5716,5415,1076
23700251,4,G3,120,19510,7320,7178,5385
23800201,6,G4,0,65500,7254,6784,3250
23800241,5,G3,12600,20082,5895,5347,3200
23800251,6,G5,0,47500,1340,1099,1690
30000292,6,G3,14050,108434,12920,10516,5530
30000342,3,G5,0,17800,2371,2263,1352
30100232,4,G4,1400,61263,12244,9324,7100
30100262,6,G2,18,10761,4773,4323,2189
30100292,6,G2,2700,9844,2636,2349,1450
30100342,4,G5,0,52428,3702,3569,2530
30700231,6,G3,0,22300,3054,2066,1157
30700281,6,G5,2500,5920,1316,1280,1000
30700311,2,G5,0,900,2148,2147,1353
30700351,2,G5,0,51010,4212,4060,1328
30700391,6,G3,920,30658,7663,6117,4560
30800221,6,G5,0,49430,3201,2969,2324
30800371,2,G5,0,22161,2458,2383,2030
30800381,6,G4,2819,20160,6254,4035,3659
31000252,4,G4,3000,NA,3943,3666,1680
31000342,6,G4,13609,6670,8959,6625,3686
31100272,4,G4,31544,111366,12173,9284,8028
31100322,4,G4,0,18525,5261,4411,2260
31100352,4,G3,100,4767,1864,1609,2380
31700231,3,G5,0,11010,1360,1226,1230
31700331,4,G2,740,NA,3094,2875,2790
31800201,5,G5,42186,111689,9806,6247,3342
31800271,4,G4,3500,12750,7781,6710,2478
31800341,4,G5,14600,83870,5104,3184,4171
31800391,2,G5,0,17300,546,515,339
31900221,4,G5,0,25564,2108,1961,2360
31900291,6,G4,19410,11310,12596,10374,5760
31900301,4,G4,0,3875,2261,2039,1805
31900341,2,G4,0,31040,2971,2629,2570
31900361,4,G4,600,4240,4270,3714,5248
32000272,3,G4,1837,3213,4177,4084,1584
32000292,3,G5,10000,NA,2897,2209,1358
32100232,3,G4,4728,692,3007,1175,2256
32100252,3,G5,28988,88592,10401,8109,3910
32100272,4,G3,19000,20985,5894,4606,5320
32100282,4,G5,6000,29225,2917,2654,1436
32700211,4,G4,0,10160,1267,898,1193
32700241,4,G5,23000,NA,1499,1173,735
32700321,2,G5,0,380,1050,1043,831
32700341,2,G5,0,47018,1232,1018,937
32800251,6,G3,0,2002,2743,2034,2762
32800261,3,G3,3263,NA,4429,3847,3334
32800341,6,G3,20500,45985,6489,5301,5936
32900251,4,G5,0,48211,6935,6630,2140
33000202,6,G4,14000,56708,4654,3365,2613
40000342,3,G4,8140,3522,3951,3442,1760
40100252,6,G4,0,27804,7696,6582,2702
40100262,7,G2,3718,NA,3072,2434,3059
40100272,4,G4,6900,12066,3701,3102,3223
40100282,4,G3,434,5954,4052,3736,3085
40100342,6,G3,5200,12667,5610,4922,4460
40700211,2,G5,500,8888,1476,1306,978
40700281,4,G5,20962,97867,6735,5539,2913
40700391,1,G5,0,10135,989,956,812
