donation,gender,age,edu,spouse,housing,nfamily,inc
48000,1,39,3,1,1,4,2
120000,0,47,3,1,1,3,4
100000,1,55,3,1,1,4,2
83000,0,49,2,1,1,4,2
140000,1,69,3,1,1,2,1
140000,0,63,2,1,1,2,1
40000,0,40,3,0,1,4,3
70000,1,48,2,1,1,4,2
240000,1,54,3,1,1,2,2
50000,0,26,3,0,3,1,2
1500000,1,34,4,1,2,3,4
30000,0,18,2,0,2,4,4
40000,0,17,2,0,2,4,4
60000,0,34,3,1,1,4,2
20000,1,44,4,1,2,4,4
720000,0,36,3,1,1,4,2
300000,1,52,4,1,1,3,4
600000,0,50,3,1,1,3,4
100000,1,45,3,1,1,4,2
480000,0,43,3,1,1,4,2
1000000,0,42,3,1,1,4,4
360000,0,16,2,0,1,4,4
240000,1,41,3,1,1,3,2
120000,1,59,3,1,1,2,3
120000,0,55,3,1,1,2,3
120000,1,44,4,1,1,4,4
120000,0,36,4,1,1,4,4
300000,1,51,4,1,1,3,4
100000,1,73,3,1,1,4,4
100000,0,71,3,1,1,4,4
120000,1,40,3,1,1,4,4
360000,1,44,3,1,2,4,4
420000,0,41,3,1,2,4,4
500000,0,49,2,1,2,3,2
10000,0,33,3,1,2,3,4
200000,1,61,3,1,2,3,2
120000,1,36,3,0,1,3,2
10000,0,14,1,0,1,4,3
500000,1,51,3,1,1,3,3
120000,0,46,3,1,1,3,3
120000,1,57,3,1,1,3,3
120000,0,57,3,1,1,3,3
360000,1,46,3,1,1,3,3
240000,0,45,3,1,1,3,3
50000,1,62,1,1,1,2,1
100000,1,31,3,1,2,4,2
120000,0,57,1,1,1,3,2
360000,1,45,3,1,1,4,4
1000000,0,41,3,1,1,4,4
240000,1,53,3,1,1,3,3
100000,1,58,4,0,1,1,4
240000,1,59,2,1,1,2,2
150000,0,38,3,0,1,3,2
10000,1,44,3,1,1,4,3
80000,0,55,3,1,1,4,2
80000,0,28,3,0,1,4,2
100000,0,46,2,0,1,2,2
30000,1,57,3,1,1,1,3
100000,1,49,3,1,1,3,3
100000,0,49,3,1,1,3,3
10000,0,61,2,0,2,1,2
240000,0,38,3,0,2,3,1
200000,1,55,3,1,1,3,3
240000,0,54,2,1,1,2,2
500000,1,45,3,1,1,1,4
600000,0,41,3,1,1,4,3
240000,0,13,1,0,1,4,3
600000,1,50,3,1,1,4,2
240000,0,45,4,1,1,4,2
360000,1,46,3,1,1,4,3
1200000,1,69,1,1,1,2,2
500000,1,44,3,1,1,3,3
240000,1,44,3,1,1,4,2
120000,0,25,3,0,1,4,4
240000,0,61,2,1,1,3,2
660000,1,41,3,1,1,2,2
240000,1,56,2,1,1,2,4
2420000,1,67,2,1,1,2,4
80000,1,76,1,1,1,2,1
40000,0,61,2,1,2,4,2
15000,0,16,2,0,2,4,1
200000,0,46,3,1,3,4,3
120000,0,62,2,0,3,3,1
1200000,1,24,3,0,3,1,1
300000,1,76,1,1,1,2,2
60000,1,61,3,1,1,2,2
120000,1,61,3,1,1,2,2
240000,0,61,2,1,1,2,2
150000,1,67,3,1,1,2,1
540000,0,43,3,1,1,4,4
120000,0,47,2,1,1,2,3
600000,0,48,3,1,1,3,3
120000,0,42,3,0,1,4,2
300000,1,64,1,1,1,3,3
10000,0,35,3,1,1,3,3
240000,0,59,3,1,1,2,2
400000,0,66,2,1,1,2,1
240000,0,28,3,0,3,1,1
240000,0,38,3,0,3,1,1
120000,0,72,1,1,1,2,2
30000,1,76,3,1,1,3,2
300000,1,36,3,0,3,1,4
840000,1,51,3,0,3,1,2
960000,0,49,2,1,3,2,3
50000,0,27,3,0,3,2,3
1800000,1,75,4,1,1,2,2
1200000,0,55,2,1,1,3,2
500000,1,63,3,0,1,1,2
60000,1,69,2,1,1,4,1
120000,0,42,4,1,2,4,3
300000,1,57,3,1,2,4,2
36000,0,33,4,1,2,4,3
300000,0,77,1,0,1,1,1
210000,1,41,3,0,2,1,2
30000,1,72,1,0,3,1,1
50000,1,54,2,1,1,3,2
100000,0,51,2,1,1,3,2
1000000,0,58,3,1,1,3,4
120000,1,43,3,1,1,1,3
200000,0,39,3,1,1,4,3
10000,1,54,2,0,1,1,1
10000,1,59,2,1,1,2,3
30000,1,60,2,1,1,4,4
120000,1,56,3,1,1,3,4
30000,0,31,3,1,1,3,2
60000,0,39,3,1,1,4,3
2000000,1,49,4,1,3,4,4
120000,0,50,4,1,3,4,4
240000,1,52,3,1,1,4,4
240000,0,53,3,1,1,4,4
1000000,1,64,2,1,1,2,2
360000,0,54,4,1,1,3,4
3000,1,16,2,0,1,3,4
50000,1,69,3,1,1,2,2
240000,1,38,3,0,1,3,1
120000,1,59,3,1,1,2,3
240000,0,72,1,0,1,1,1
36000,1,25,2,0,1,2,1
40000,1,66,3,1,1,2,3
30000,0,40,3,0,3,2,1
120000,0,54,2,0,3,1,3
360000,1,28,3,0,3,2,1
240000,0,55,2,0,1,2,2
600000,1,23,3,0,1,2,2
480000,1,56,2,1,1,3,3
480000,0,57,2,1,1,3,3
240000,0,50,2,1,3,4,1
360000,1,50,2,1,1,3,2
140000,0,56,3,1,1,3,4
360000,0,66,2,1,1,2,1
55000,0,52,3,0,1,1,2
360000,0,55,2,0,1,2,1
120000,0,43,3,0,1,3,2
20000,0,47,3,1,1,4,3
300000,0,32,3,1,2,3,2
10000,1,69,2,1,1,2,2
400000,0,65,1,1,1,2,2
50000,0,42,4,0,1,2,1
240000,0,32,3,0,1,3,3
120000,0,60,3,0,1,1,1
190000,0,45,3,0,1,3,1
1200000,1,56,4,1,1,3,4
120000,1,62,3,1,1,4,3
50000,0,52,1,1,1,3,3
200000,0,20,2,0,1,3,3
50000,1,59,3,1,1,3,3
12000,1,40,3,1,3,4,4
12000,0,40,3,1,3,4,4
200000,1,41,4,1,2,2,4
20000,0,39,3,1,2,2,4
60000,0,50,3,1,1,3,4
360000,0,72,1,0,1,2,2
960000,0,45,3,1,3,3,2
120000,0,61,1,1,1,3,3
120000,0,50,3,1,1,3,4
10000,1,20,2,0,1,4,4
120000,1,62,3,1,1,2,3
360000,1,45,3,1,2,4,3
40000,0,17,2,0,2,4,3
10000,0,15,1,0,2,4,3
2000000,0,51,2,0,1,1,3
10000,1,16,2,0,1,4,2
240000,1,41,3,0,1,3,3
240000,1,60,3,1,1,3,2
120000,0,58,3,1,1,3,2
240000,1,64,2,0,1,1,2
120000,0,48,3,0,3,3,2
360000,0,47,2,1,1,4,3
240000,0,38,3,1,2,4,2
240000,0,72,2,0,1,1,1
360000,0,55,3,1,1,2,2
10000,0,63,1,0,1,1,1
120000,0,66,1,0,1,1,1
480000,0,37,3,1,1,3,2
20000,1,47,1,1,1,4,3
100000,0,16,2,0,1,4,3
100000,0,14,1,0,1,4,3
240000,0,51,2,1,1,2,1
300000,1,51,2,1,1,4,3
40000,0,46,3,1,1,4,3
120000,1,45,3,1,1,4,3
360000,0,41,2,1,1,3,4
20000,0,50,3,1,1,3,3
154000,0,38,4,1,2,4,3
60000,1,48,3,1,3,4,4
120000,0,43,2,1,3,4,4
600000,1,44,4,1,2,3,1
90000,0,32,3,1,2,4,3
1000000,1,49,4,1,2,3,4
150000,0,48,3,1,2,3,4
30000,0,29,3,0,3,1,2
30000,1,15,2,0,3,3,2
90000,0,58,2,1,1,3,1
120000,1,62,2,1,1,2,2
120000,0,60,1,1,1,2,2
60000,1,66,2,1,3,2,2
780000,0,31,3,0,3,2,2
120000,0,56,2,1,3,1,2
30000,1,33,1,1,3,4,3
120000,1,35,3,1,1,4,3
360000,1,40,3,1,1,4,2
2000,1,20,3,0,3,1,1
360000,0,38,3,1,1,2,3
200000,1,44,4,1,1,4,4
200000,1,41,3,1,1,2,3
400000,1,46,3,1,1,2,4
400000,0,45,3,1,1,2,4
100000,1,60,3,1,1,3,4
240000,0,56,2,1,1,3,3
120000,1,60,2,1,1,2,2
120000,0,57,2,1,1,2,2
20000,1,62,3,1,1,2,2
20000,0,64,2,1,1,2,2
30000,0,54,2,1,1,2,2
360000,1,41,3,1,1,3,1
360000,0,35,3,1,1,3,1
20000,0,62,2,1,1,2,2
120000,0,13,1,0,1,4,2
10000,0,36,3,1,1,4,3
100000,1,38,3,1,1,4,4
30000,1,43,3,1,1,3,4
240000,1,56,2,1,1,3,3
120000,0,51,2,1,1,3,3
10001,0,16,2,0,1,4,2
1000000,0,56,3,0,1,1,3
360000,1,57,4,1,1,4,3
100000,1,37,3,0,1,2,2
90000,0,25,3,0,1,4,3
